61,6LGwYMXXgURfaequXipzHx,Alicia Keys,The Collection,You Don't Know My Name,https://p.scdn.co/mp3-preview/28a81a94bfc581dd2122efc323520812c17d7a45?cid=d8a5ed958d274c2e8ee717e6a4b0971d,
62,6PVuMhSlLOt7QHhIkNyvii,Tom Misch,Memory,Memory,https://p.scdn.co/mp3-preview/573b0aba4d7921ac53316ef526f3dd3d82e3eb33?cid=d8a5ed958d274c2e8ee717e6a4b0971d,
63,6piGXG0H9AybPDVnwwIMao,Kehlani,SweetSexySavage,Do U Dirty,https://p.scdn.co/mp3-preview/0a58d479ee8bbba87b0d995577765cb01954902d?cid=d8a5ed958d274c2e8ee717e6a4b0971d,
64,7AQim7LbvFVZJE3O8TYgf2,XXXTENTACION,17,Fuck Love (feat. Trippie Redd),https://p.scdn.co/mp3-preview/c82958b8b135299e17cb3465048032e6dc7fc98e?cid=d8a5ed958d274c2e8ee717e6a4b0971d,
65,7Lf7oSEVdzZqTA0kEDSlS5,Justin Timberlake,Justified,Cry Me a River,,
66,7jOM0KIKgIppqIEvEjixaj,Beth Hirsch,Moon Safari,All I Need (feat. Beth Hirsch),,
67,0KQx6HOpJueiSkztcS0r7D,Alicia Keys,The Collection,Fallin',,
68,1VZLEW5ZfcAbKZ94XQiSZF,Frank Ocean,Blonde,Close To You,https://p.scdn.co/mp3-preview/b38cb6040ff434aa3585110324a9b89c633d7120?cid=d8a5ed958d274c2e8ee717e6a4b0971d,
69,46X8c9qJzpBLYcos3OX0CE,The Weeknd,Thursday,The Zone,https://p.scdn.co/mp3-preview/d55be37c9a9e37cf2784acc05ff54011af69b325?cid=d8a5ed958d274c2e8ee717e6a4b0971d,
70,6F9jdzX7CfixvCsCkW7zw9,Blue,Sorry Seems To Be The Hardest Word,Sorry Seems To Be The Hardest Word - Feat. Elton John,https://p.scdn.co/mp3-preview/1d9b082da6c92b311244db107117f9ad3c11ef76?cid=d8a5ed958d274c2e8ee717e6a4b0971d,
71,6SwRhMLwNqEi6alNPVG00n,Kendrick Lamar,DAMN.,LOYALTY. FEAT. RIHANNA.,https://p.scdn.co/mp3-preview/fd58fc4ca18672423f3f31a93f5672a1f89941ab?cid=d8a5ed958d274c2e8ee717e6a4b0971d,
72,0Lgk4pD3Y0iE9w2xDilhjj,Joomanji,Manj,Spread Too Thin (feat. Lindsay Olsen),,
73,0Y0JVqSlj8J512B5kjKekP,Moonchild,Be Free,Back to Me,,
74,0oz3Beex42DL7nabhLknBd,Rapsody,Laila’s Wisdom,Nobody,https://p.scdn.co/mp3-preview/8eaaba96e4dd1ff1c8e3a85ed8c3ca2d008a3ca9?cid=d8a5ed958d274c2e8ee717e6a4b0971d,
75,19GxZZECG7HLXPCxIa99zD,Hiatus Kaiyote,"Recalibrations, Vol. 1",Nakamarra (Rox N Stix Desert Mix),,
76,1Mzf63ecHw1iZNS2Zhp6ac,PJ Morton,In My Mind,Man Down,https://p.scdn.co/mp3-preview/907610656047d0b5d7bd8a2c11694659142b7ac4?cid=d8a5ed958d274c2e8ee717e6a4b0971d,
77,1goN1TN8DZDLRNizMciiho,Matt Martians,The Drum Chord Theory,Dent Jusay,https://p.scdn.co/mp3-preview/4e1d4d765f2ceee437650869c1eaf1dedf1ad47d?cid=d8a5ed958d274c2e8ee717e6a4b0971d,
78,1lfHff4wdmV8VXrMaYKdoP,Black Party,Mango,Swang My Way,https://p.scdn.co/mp3-preview/a910370159b2b21da74323c5284e03e6870a9717?cid=d8a5ed958d274c2e8ee717e6a4b0971d,
79,2LdbF40p7euLqEsaxpt70i,Duckwrth,Bernal Heights,Bernal Heights,https://p.scdn.co/mp3-preview/b7621e246e74fd050470a52f770d82d91abcbea7?cid=d8a5ed958d274c2e8ee717e6a4b0971d,
80,2MJBTjDGNum1zpODeH3pum,Phony Ppl,Yesterday's Tomorrow,HelGa.,https://p.scdn.co/mp3-preview/b9f3fdffc68a42c71d24a22b1b69ea8cdaee62bd?cid=d8a5ed958d274c2e8ee717e6a4b0971d,
81,2QmJfxcWEMuT1gDqmTdjEv,Leven Kali,Joy,Joy,https://p.scdn.co/mp3-preview/338e6ed29a4d4ec09205ac8d80de1faca45a69fc?cid=d8a5ed958d274c2e8ee717e6a4b0971d,
82,37Z5gTlgMHD2iCorfOr0L9,Joomanji,Manj,Where Are You? (Love for JL) [feat. Copasetic & Lindsay Olsen],,
83,3DlgDXIYtnWtJKiB8bZQMv,Jean Deaux,Bucket List Project,Photosynthesis,,
84,3VeuvRWfJLSOzeVPrgi5MR,Ari Lennox,PHO,Night Drive,https://p.scdn.co/mp3-preview/8bbaba8d9d847f68bad3961751d6d5e53f57a137?cid=d8a5ed958d274c2e8ee717e6a4b0971d,
85,3XRosKfSgFSDIb6YVpApIl,LION BABE,Begin,Treat Me Like Fire,,
86,4SnvGQ7wRoFpxPKXmwJJMr,Rapsody,The Idea Of Beautiful,Good Good Love (feat. BJ The Chicago Kid),,
87,4Z9npQ93MrnIkRcTBKwSa3,Steve Lacy,Steve Lacy's Demo,Looks,https://p.scdn.co/mp3-preview/3e1ea3acdb998b87cb37e02640431837becae3fb?cid=d8a5ed958d274c2e8ee717e6a4b0971d,
88,5LWKsMeXaYBoKzCHk8syQy,LION BABE,Rockets (feat. Moe Moks),Rockets (feat. Moe Moks),,
89,5Wbjjde5ez7sx22OtmrXKV,Leven Kali,Smile,Smile,,
90,65OzTXP2Atva3eOmfKpKOP,Rayana Jay,Morning After,Everything,,
91,6JvfBzqZmSiEG5MjM7OcSY,Cam O'bi,Telefone,Diddy Bop (feat. Cam O'bi & Raury),https://p.scdn.co/mp3-preview/3e6522b528fdd0679536ec777a754efbdfb9c631?cid=d8a5ed958d274c2e8ee717e6a4b0971d,
92,6j328qpqI6nScYgOTW5rBl,Isabella,Love Inside,Love Inside,https://p.scdn.co/mp3-preview/4a75f7cb7b844577a2c2962479387ced5382d3f1?cid=d8a5ed958d274c2e8ee717e6a4b0971d,
93,79SwPJfANsJt3PRxlc6mQb,Slum Village,Yes! (Instrumentals),Yes! - Instrumental,https://cdns-preview-5.dzcdn.net/stream/c-5d4e09f0f6438f880a4c3c8be6899823-3.mp3,
94,7jFbOudqQuRltEVWMguYWc,Abhi//Dijon,Ignore,Ignore,,
95,1h2LHhmyAXi8tPNLi806JA,Saba,Telefone,"Shadow Man (feat. Phoelix, Smino & Saba)",https://p.scdn.co/mp3-preview/dc6c660a43e07de73cb2607ecb18eff2d1930194?cid=d8a5ed958d274c2e8ee717e6a4b0971d,
96,3Zya4lXzYb2mW4FneXJX8e,BJ The Chicago Kid,In My Mind,Intro (Inside My Mind),https://cdns-preview-7.dzcdn.net/stream/c-72716b3299398fabcbe0d08b7867405a-6.mp3,
97,5MjAFPcmrR1DYCgZrXCN4d,BJ The Chicago Kid,In My Mind,Turnin' Me Up,https://p.scdn.co/mp3-preview/53b858e56d041d7a909912a391f518a1fea958d8?cid=d8a5ed958d274c2e8ee717e6a4b0971d,
98,6PmnGYDsruYLBNY4Rpx4t9,Buddy,In My Mind,Church,https://p.scdn.co/mp3-preview/989608bfac5fb3602faf76263efd1f875a79ca20?cid=d8a5ed958d274c2e8ee717e6a4b0971d,
99,6ss9pV5sKKYinhZAmIWhJe,Jerry Paper,Primary,Gotta Know (feat. Jerry Paper),https://p.scdn.co/mp3-preview/c116cb3f8740eecfb91de81f1e24b5f6d5d05649?cid=d8a5ed958d274c2e8ee717e6a4b0971d,
100,0aDQevECiy9BeCtyNeVgp0,Brandy,Brandy,Give Me You,https://p.scdn.co/mp3-preview/3ceaf11a52e721d060c8a569045e45fb2b22871e?cid=d8a5ed958d274c2e8ee717e6a4b0971d,
101,0wDPw6OTxg0yMe5M7nusEs,Jay Prince,Befor Our Time,4u/Lately,https://p.scdn.co/mp3-preview/4e43bf0564684f27024b1b30837d487da0b55123?cid=d8a5ed958d274c2e8ee717e6a4b0971d,
102,1IgePMOW0qEe1AViWgkal9,Isaiah Rashad,Ctrl,Pretty Little Birds,https://p.scdn.co/mp3-preview/08231ef44bdc322bab41d6c27b09c0ca309ffcc5?cid=d8a5ed958d274c2e8ee717e6a4b0971d,
